"","a","b","c","d","e","id"
"385",50,50,50,50,50,629
"386",10,10,20,0,10,631
"387",50,50,50,50,50,632
"388",40,40,50,40,50,633
"389",30,60,50,40,60,634
"390",50,50,40,40,50,635
"391",40,50,40,20,60,636
"392",50,40,50,40,50,637
"393",20,30,50,70,10,638
"394",70,60,60,70,70,640
"395",90,60,80,90,50,641
"396",50,50,50,50,50,642
"397",50,50,50,50,50,644
"398",0,0,0,0,0,645
"399",50,50,50,50,50,646
"400",50,50,50,50,50,649
"401",50,50,50,50,50,650
"402",70,90,80,90,90,651
"403",30,70,40,40,30,654
"404",40,50,40,30,60,657
"405",40,40,50,20,40,659
"406",10,20,20,30,20,660
"407",50,30,20,20,20,662
"408",20,20,20,0,0,663
"409",50,50,50,50,50,664
"410",50,50,50,50,50,665
"411",50,50,50,50,50,666
"412",20,20,30,10,40,668
"413",50,50,50,50,40,671
"414",60,60,50,60,60,672
"415",50,50,50,50,50,674
"416",20,40,60,40,20,675
"417",50,50,50,50,50,677
"418",0,0,0,0,0,679
"419",40,50,40,50,40,680
"420",40,50,50,30,40,681
"421",0,10,0,10,0,684
"422",50,50,50,0,0,685
"423",50,50,50,50,50,686
"424",50,50,50,50,50,687
"425",30,20,30,30,30,689
"426",50,60,60,60,50,690
"427",50,40,50,40,40,691
"428",20,20,50,20,30,692
"429",30,40,30,30,30,694
"430",10,10,0,0,10,697
"431",50,40,60,50,40,698
"432",0,0,0,0,0,699
"433",30,30,30,30,30,703
"434",50,50,50,50,50,705
"435",50,30,40,40,40,706
"436",40,50,30,60,40,708
"437",50,50,50,50,50,709
"438",10,10,10,10,10,710
"439",50,50,50,50,50,711
"440",70,90,70,90,80,712
"441",40,40,40,40,40,713
"442",10,20,10,20,30,715
"443",0,0,0,0,0,717
"444",50,50,50,50,50,719
