id,Age,AveRT,CondNum,DG1,DG2,DG3,DG4,DG5,DGAverage,DG.stdev,DGAverage.split,Edu,FairOffer,FairRT,FairVsActual,GenderNum,Guess,GuessRole,GuessVsAve,IRI.EC,IRI.FS,IRI.PD,IRI.PT,IRI.Tot,KnowNum,MemCond,MemExclude,NPNum,Numeracy,Session,Subject,condition,gender,knowledge,numPic
178,29,8798.2,3,40,50,40,50,40,44,0.55,2,4,40,38889,-0.4,2,45,1,1,20,20,11,24,75,2,2,0,1,0.91,11,177,1,2,1,2
179,29,7312.8,3,40,30,50,30,70,44,1.67,2,2,30,28769,-1.4,2,46,1,2,16,25,15,22,78,2,2,0,1,1,9,167,1,2,1,2
180,25,15105,3,30,20,10,10,0,14,1.14,1,5,30,24312,1.6,1,15,6,1,21,23,18,18,80,2,2,0,1,0.91,9,165,1,1,1,2
181,23,10896.2,3,0,0,0,0,0,0,0,1,3,0,24182,0,1,0,1,0,24,23,12,22,81,2,1,0,1,1,4,143,1,1,1,2
182,26,18956,3,40,50,30,40,40,40,0.71,2,4,30,,-1,1,40,1,0,20,26,14,21,81,2,1,0,1,1,13,189,1,1,1,2
183,20,24878.6,3,50,40,50,40,50,46,0.55,2,3,30,40206,-1.6,1,46,1,0,23,18,25,15,81,2,1,0,1,0.55,2,134,1,1,1,2
184,22,10838.8,3,50,50,60,60,50,54,0.55,2,3,0,20768,-5.4,2,50,1,-4,20,18,19,24,81,2,1,0,1,1,2,136,1,2,1,2
185,22,11387.8,3,0,0,0,0,0,0,0,1,3,0,31101,0,1,0,6,0,21,28,9,25,83,2,2,0,1,1,7,158,1,1,1,2
186,21,10056.2,3,20,20,20,20,20,20,0,1,3,30,19400,1,1,20,1,0,24,19,19,21,83,2,2,0,1,0.91,2,133,1,1,1,2
187,20,19281,3,30,30,20,30,40,30,0.71,2,3,40,34136,1,1,40,5,10,25,27,15,19,86,2,2,0,1,1,11,179,1,1,1,2
188,21,9422.6,3,20,20,20,20,20,20,0,1,3,20,38734,0,2,20,1,0,27,28,11,23,89,2,1,0,1,1,6,156,1,2,1,2
